bloomberg_ticker,numerai_exit_date,numerai_entry_date,hconm,hcik,map_start,map_end
ABH US,2008-10-03,2008-09-05,ABITIBIBOWATER INC,1393066.0,2008-04-12,2012-06-08
ABH US,2008-10-03,2008-09-05,BOWATER INC,743368.0,2007-04-14,2007-11-09
ABH US,2008-10-03,2008-09-05,RESOLUTE FOREST PRODUCTS INC,1393066.0,2012-06-09,2099-12-31
ABH US,2008-10-03,2008-09-05,BRL ENTERPRISES INC,13824.0,2007-04-14,2099-12-31
ABI US,2008-11-21,2003-01-31,APPLIED BIOSYSTEMS INC,77551.0,2008-07-12,2099-12-31
ABI US,2008-11-21,2003-01-31,APPLIED BIOSYSTEMS INC,77551.0,2008-07-12,2099-12-31
ABK US,2010-03-26,2003-01-31,AMBAC FINANCIAL GP,874501.0,2007-04-14,2010-11-12
ABK US,2010-03-26,2003-01-31,AMBAC FINANCIAL GROUP INC,874501.0,2010-11-13,2099-12-31
ABM US,2022-02-11,2003-01-31,ABM INDUSTRIES INC,771497.0,2007-04-14,2099-12-31
ABMD US,2022-02-11,2006-03-31,ABIOMED INC,815094.0,2007-04-14,2099-12-31
ABNK US,2005-11-25,2003-01-31,AMEGY BANCORPORATION INC,1027258.0,2007-04-14,2099-12-31
ABR US,2006-04-28,2005-03-18,ARBOR REALTY TRUST INC,1253986.0,2016-09-10,2099-12-31
ABR US,2006-04-28,2005-03-18,ARBOR REALTY TRUST INC,1253986.0,2007-04-14,2016-09-09
ABT US,2022-02-11,2003-01-31,ABBOTT LABORATORIES,1800.0,2013-01-12,2099-12-31
ABT US,2022-02-11,2003-01-31,ABBOTT LABORATORIES,1800.0,2007-04-14,2013-01-11
ABTX US,2022-02-11,2016-07-01,ALLEGIANCE BANCSHARES -REDH,1642081.0,2015-10-10,2015-11-13
ABTX US,2022-02-11,2016-07-01,ALLEGIANCE BANCSHARES INC,1642081.0,2015-11-14,2099-12-31
ABUS US,2022-02-11,2018-06-29,ARBUTUS BIOPHARMA CORP,1447028.0,2015-08-08,2099-12-31
ABUS US,2022-02-11,2018-06-29,TEKMIRA PHARMACEUTICALS CORP,1447028.0,2015-06-13,2015-08-07
ABVT US,2012-06-29,2009-12-25,ABOVENET INC,1043533.0,2007-04-14,2099-12-31
ABXA US,2007-11-30,2005-11-18,ABX AIR INC,894081.0,2007-04-14,2008-01-11
ABXA US,2007-11-30,2005-11-18,ABX HOLDINGS INC,894081.0,2008-01-12,2008-06-13
ABXA US,2007-11-30,2005-11-18,AIR TRANSPORT SERVICES GROUP,894081.0,2008-06-14,2099-12-31
ACA US,2022-02-11,2019-07-26,ARCOSA INC,1739445.0,2018-11-10,2099-12-31
ACAD US,2022-02-11,2006-02-03,ACADIA PHARMACEUTICALS INC,1070494.0,2007-04-14,2099-12-31
ACAP US,2010-10-15,2006-01-06,AMERICAN PHYSICIANS CAPITAL,1118148.0,2007-04-14,2099-12-31
ACAS US,2014-06-27,2003-01-31,AMERICAN CAPITAL LTD,817473.0,2008-07-12,2099-12-31
ACAS US,2014-06-27,2003-01-31,AMERICAN CAPITAL LTD,817473.0,2008-07-12,2099-12-31
ACAS US,2014-06-27,2003-01-31,AMERICAN CAPITAL STRATEGIES,817473.0,2007-04-14,2008-07-11
ACAS US,2014-06-27,2003-01-31,AMERICAN CAPITAL STRATEGIES,817473.0,2007-04-14,2008-07-11
ACAT US,2017-03-03,2003-08-08,ARCTIC CAT INC,719866.0,2007-04-14,2099-12-31
ACBI US,2022-02-11,2016-08-05,ATLANTIC CAP BANCSHARES INC,1461755.0,2015-12-12,2099-12-31
ACC US,2006-04-28,2005-07-01,AMERICAN CAMPUS COMMUNITIES,1283630.0,2007-04-14,2016-09-09
ACC US,2006-04-28,2005-07-01,AMERICAN CAMPUS COMMUNITIES,1283630.0,2016-09-10,2099-12-31
ACCD US,2022-02-11,2021-03-26,ACCOLADE INC,1481646.0,2021-03-13,2099-12-31
ACCD US,2022-02-11,2021-03-26,ACCOLADE INC,1481646.0,2020-08-08,2021-03-12
ACCD US,2022-02-11,2021-03-26,ACCOLADE INC -REDH,1481646.0,2020-06-13,2020-08-07
ACCL US,2014-04-25,2010-08-27,ACCELRYS INC,1002388.0,2007-04-14,2011-03-11
ACCL US,2014-04-25,2010-08-27,ACCELRYS INC,1002388.0,2011-03-12,2099-12-31
ACCO US,2022-02-11,2007-02-02,ACCO BRANDS CORP,712034.0,2007-04-14,2099-12-31
ACDO US,2005-08-12,2003-01-31,ACCREDO HEALTH INC,1068887.0,2007-04-14,2099-12-31
ACEL US,2022-02-11,2020-08-14,ACCEL ENTERTAINMENT INC,1698991.0,2020-07-11,2099-12-31
ACET US,2022-02-11,2012-03-09,ACETO CORP,2034.0,2007-04-14,2015-03-13
ACET US,2022-02-11,2012-03-09,ACETO CORP,2034.0,2015-03-14,2099-12-31
ACET US,2022-02-11,2012-03-09,ADICET BIO INC,1651390.0,2021-02-13,2099-12-31
ACF US,2004-01-16,2003-04-18,AMERICREDIT CORP,804269.0,2007-04-14,2012-07-13
ACF US,2004-01-16,2003-04-18,GENERAL MOTORS FINL CO INC,804269.0,2012-07-14,2099-12-31
ACGL US,2022-02-11,2007-06-29,ARCH CAPITAL GROUP LTD,947484.0,2012-09-08,2099-12-31
ACGL US,2022-02-11,2007-06-29,ARCH CAPITAL GROUP LTD,947484.0,2007-04-14,2012-09-07
ACHC US,2022-02-11,2012-07-27,ACADIA HEALTHCARE CO INC,1520697.0,2011-11-12,2099-12-31
ACHN US,2020-01-24,2011-07-01,ACHILLION PHARMACEUTICALS,1070336.0,2007-04-14,2099-12-31
ACI US,2022-02-11,2021-08-20,ALBERTSONS COS INC,1646972.0,2020-08-08,2099-12-31
ACI US,2022-02-11,2021-08-20,ALBERTSONS COS INC  -REDH,1646972.0,2015-08-08,2020-08-07
ACIA US,2021-02-26,2018-04-13,ACACIA COMMUNICATIONS INC,1651235.0,2017-02-11,2099-12-31
ACIA US,2021-02-26,2018-04-13,ACACIA COMMUNICATIONS  -REDH,1651235.0,2016-01-09,2016-06-10
ACIA US,2021-02-26,2018-04-13,ACACIA COMMUNICATIONS INC,1651235.0,2016-06-11,2017-02-10
ACIW US,2022-02-11,2003-06-06,ACI WORLDWIDE INC,935036.0,2007-09-08,2099-12-31
ACIW US,2022-02-11,2003-06-06,TRNSACTN SYS ARCHTCTS  -CL A,935036.0,2007-04-14,2007-09-07
ACLI US,2010-12-17,2006-06-30,AMERICAN COMMERCIAL LINES,1324479.0,2007-04-14,2099-12-31
ACLI US,2010-12-17,2006-06-30,AMERICAN COMMERCIAL LINES,1324479.0,2007-04-14,2099-12-31
ACLS US,2022-02-11,2003-01-31,AXCELIS TECHNOLOGIES INC,1113232.0,2007-04-14,2099-12-31
ACLS US,2022-02-11,2003-01-31,AXCELIS TECHNOLOGIES INC,1113232.0,2007-04-14,2099-12-31
ACM US,2022-02-11,2008-02-01,AECOM,868857.0,2017-04-08,2099-12-31
ACM US,2022-02-11,2008-02-01,AECOM INC,868857.0,2015-01-10,2017-04-07
ACM US,2022-02-11,2008-02-01,AECOM TECHNOLOGY CORP,868857.0,2007-06-09,2015-01-09
ACM US,2022-02-11,2008-02-01,AECOM TECHNOLOGY CORP  -REDH,868857.0,2007-04-14,2007-06-08
ACMR US,2019-06-28,2003-05-23,A.C. MOORE ARTS & CRAFTS INC,1042809.0,2007-04-14,2099-12-31
ACMR US,2019-06-28,2003-05-23,ACM RESEARCH INC,1680062.0,2018-11-10,2099-12-31
ACMR US,2019-06-28,2003-05-23,ACM RESEARCH INC - REDH,1680062.0,2017-12-09,2018-11-09
ACN US,2022-02-11,2010-07-02,ACCENTURE LTD,1134538.0,2007-04-14,2009-09-11
ACN US,2022-02-11,2010-07-02,ACCENTURE PLC,1467373.0,2009-09-12,2099-12-31
ACO US,2014-05-09,2004-02-27,AMCOL INTERNATIONAL CORP,813621.0,2007-04-14,2099-12-31
ACOM US,2012-12-28,2010-07-30,ANCESTRY.COM INC,1469433.0,2009-11-14,2099-12-31
ACOM US,2012-12-28,2010-07-30,ANCESTRY.COM INC-REDH,1469433.0,2009-09-12,2009-11-13
ACOR US,2019-12-27,2007-06-29,ACORDA THERAPEUTICS INC,1008848.0,2007-04-14,2099-12-31
ACOR US,2019-12-27,2007-06-29,ACORDA THERAPEUTICS INC,1008848.0,2007-04-14,2099-12-31
ACR US,2006-07-21,2005-09-16,AMERICAN RETIREMENT CORP,787784.0,2007-04-14,2099-12-31
ACRS US,2022-02-11,2016-07-01,ACLARIS THERAPEUTICS -REDH,1557746.0,2015-09-12,2015-10-09
ACRS US,2022-02-11,2016-07-01,ACLARIS THERAPEUTICS INC,1557746.0,2015-10-10,2099-12-31
ACRX US,2021-06-25,2013-07-05,ACELRX PHARMACEUTICALS -REDH,1427925.0,2010-12-11,2011-05-13
ACRX US,2021-06-25,2013-07-05,ACELRX PHARMACEUTICALS INC,1427925.0,2011-05-14,2099-12-31
ACS US,2010-02-05,2003-01-31,AFFILIATED COMPUTER SERVICES,2135.0,2007-04-14,2099-12-31
ACTA US,2018-01-26,2007-03-09,ACTUA CORP,1085621.0,2014-09-13,2014-11-07
ACTA US,2018-01-26,2007-03-09,ICG GROUP INC,1085621.0,2011-07-09,2014-09-12
ACTA US,2018-01-26,2007-03-09,INTERNET CAPITAL GROUP INC,1085621.0,2011-01-08,2011-07-08
ACTA US,2018-01-26,2007-03-09,ACTUA CORP,1085621.0,2014-11-08,2099-12-31
ACTA US,2018-01-26,2007-03-09,INTERNET CAPITAL GROUP INC,1085621.0,2007-04-14,2011-01-07
ACTG US,2017-04-21,2009-07-31,ACACIA RESEARCH CORP,934549.0,2010-01-09,2099-12-31
ACTI US,2004-03-26,2003-10-31,ACTIVIDENTITY CORP,1183941.0,2007-04-14,2099-12-31
ACTL US,2010-10-29,2003-01-31,ACTEL CORP,907687.0,2007-04-14,2099-12-31
ACTV US,2013-11-15,2012-02-17,ACTIVE NETWORK INC,1163932.0,2011-06-11,2099-12-31
ACTV US,2013-11-15,2012-02-17,ACTIVE NETWORK INC-REDH,1163932.0,2007-04-14,2011-06-10
ACTV US,2013-11-15,2012-02-17,ACTIVE NETWORK INC-REDH,1296286.0,2007-07-14,2007-09-07
ACV US,2011-05-06,2003-01-31,ALBERTO-CULVER CO,3327.0,2007-04-14,2007-07-13
ACV US,2011-05-06,2003-01-31,ALBERTO-CULVER CO,1368457.0,2007-07-14,2099-12-31
ACW US,2014-08-29,2011-07-01,ACCURIDE CORP,817979.0,2007-04-14,2099-12-31
AD US,2007-02-23,2003-01-31,ADVO INC,801622.0,2007-04-14,2099-12-31
ADAP US,2022-02-11,2016-01-29,ADAPTIMMUNE THERAPEUTCS -ADR,1621227.0,2015-05-10,2015-06-12
ADAP US,2022-02-11,2016-01-29,ADAPTIMMUNE THERAPEUTICS,1621227.0,2015-06-13,2099-12-31
ADBE US,2022-02-11,2003-01-31,ADOBE INC,796343.0,2018-10-13,2099-12-31
ADBE US,2022-02-11,2003-01-31,ADOBE SYSTEMS INC,796343.0,2007-04-14,2018-10-12
ADBL US,2007-06-22,2005-06-24,AUDIBLE INC,1077926.0,2007-04-14,2099-12-31
ADCT US,2010-12-03,2004-03-26,ADC TELECOMMUNICATIONS INC,61478.0,2007-04-14,2099-12-31
ADES US,2015-01-30,2012-06-29,ADA-ES INC,1223112.0,2007-04-14,2013-07-14
ADES US,2015-01-30,2012-06-29,ADA-ES INC,1223112.0,2007-04-14,2013-07-14
ADES US,2015-01-30,2012-06-29,ADVANCED EMISSIONS SOLUTIONS,1223112.0,2013-07-15,2014-04-11
ADES US,2015-01-30,2012-06-29,ADVANCED EMISSIONS SOLUTIONS,1223112.0,2013-07-15,2014-04-11
ADES US,2015-01-30,2012-06-29,ADVANCED EMISSIONS SOLUTIONS,1515156.0,2014-04-12,2099-12-31
ADES US,2015-01-30,2012-06-29,ADVANCED EMISSIONS SOLUTIONS,1515156.0,2014-04-12,2099-12-31
ADEX US,2006-10-06,2004-07-09,ADE CORP/MA,884498.0,2007-04-14,2099-12-31
ADI US,2022-02-11,2003-01-31,ANALOG DEVICES,6281.0,2007-04-14,2099-12-31
ADIC US,2006-08-18,2003-01-31,ADVANCED DIGITAL INFO CORP,770403.0,2007-04-14,2099-12-31
ADLR US,2008-11-07,2003-01-31,ADOLOR CORP,1076167.0,2007-04-14,2099-12-31
ADM US,2022-02-11,2003-01-31,ARCHER-DANIELS-MIDLAND CO,7084.0,2007-04-14,2099-12-31
ADMA US,2020-12-11,2018-10-19,ADMA BIOLOGICS INC,1368514.0,2014-02-08,2099-12-31
ADMS US,2020-03-06,2015-12-25,ADAMAS PHARMACEUTICALS -REDH,1328143.0,2014-04-12,2014-06-13
ADMS US,2020-03-06,2015-12-25,ADAMAS PHARMACEUTICALS INC,1328143.0,2014-06-14,2099-12-31
ADNC US,2014-10-17,2013-02-01,AUDIENCE INC,1201663.0,2012-05-12,2014-05-09
ADNC US,2014-10-17,2013-02-01,AUDIENCE INC  -REDH,1201663.0,2012-02-11,2012-05-11
ADNC US,2014-10-17,2013-02-01,AUDIENCE INC,1201663.0,2014-05-10,2099-12-31
ADNT US,2022-02-11,2017-07-07,ADIENT PLC,1670541.0,2016-11-12,2099-12-31
ADP US,2022-02-11,2003-01-31,AUTOMATIC DATA PROCESSING,8670.0,2007-04-14,2099-12-31
ADPI US,2009-10-23,2007-06-29,AMERICAN DENTAL PARTNERS INC,1028087.0,2007-04-14,2099-12-31
ADPT US,2022-02-11,2015-03-20,ADEPTUS HEALTH INC,1602367.0,2014-07-12,2099-12-31
ADPT US,2022-02-11,2015-03-20,ADEPTUS HEALTH INC  -REDH,1602367.0,2014-06-14,2014-07-11
ADPT US,2022-02-11,2015-03-20,ADAPTIVE BIOTECH CORP,1478320.0,2019-07-13,2099-12-31
ADRO US,2020-09-18,2016-01-22,ADURO BIOTECH INC,1435049.0,2015-05-10,2020-10-09
ADRO US,2020-09-18,2016-01-22,ADURO BIOTECH INC,1435049.0,2015-05-10,2020-10-09
ADRO US,2020-09-18,2016-01-22,ADURO BIOTECH INC -REDH,1435049.0,2015-04-11,2015-05-09
ADRO US,2020-09-18,2016-01-22,ADURO BIOTECH INC -REDH,1435049.0,2015-04-11,2015-05-09
ADRX US,2006-10-27,2003-01-31,ANDRX CORP,1123337.0,2007-04-14,2099-12-31
ADS US,2022-02-11,2003-01-31,ALLIANCE DATA SYSTEMS CORP,1101215.0,2007-04-14,2099-12-31
ADSK US,2022-02-11,2003-03-21,AUTODESK INC,769397.0,2007-04-14,2099-12-31
ADSW US,2020-10-30,2017-06-30,ADS WASTE HLDGS INC  -REDH,1585790.0,2015-09-12,2016-02-12
ADSW US,2020-10-30,2017-06-30,ADVANCED DISPOSAL SERVICES,1585790.0,2016-11-12,2099-12-31
ADSW US,2020-10-30,2017-06-30,ADVANCED DISPOSAL SVCS -REDH,1585790.0,2016-02-13,2016-11-11
ADT US,2022-02-11,2013-06-07,ADT CORP,1546640.0,2014-02-08,2099-12-31
ADT US,2022-02-11,2013-06-07,ADT CORP (THE),1546640.0,2012-10-13,2014-02-07
ADT US,2022-02-11,2013-06-07,ADT INC,1703056.0,2018-03-10,2099-12-31
ADT US,2022-02-11,2013-06-07,ADT INC -REDH,1703056.0,2018-02-10,2018-03-09
ADTN US,2022-02-11,2003-01-31,ADTRAN INC,926282.0,2007-04-14,2099-12-31
ADUS US,2022-02-11,2013-07-05,ADDUS HOMECARE CORP,1468328.0,2009-11-14,2099-12-31
ADUS US,2022-02-11,2013-07-05,ADDUS HOMECARE CORP -REDH,1468328.0,2009-08-01,2009-11-13
ADV US,2021-10-08,2021-07-23,ADVANTAGE SOLUTION-REDH,1703887.0,2017-07-09,2020-11-13
ADV US,2021-10-08,2021-07-23,ADVANTAGE SOLUTION-REDH,1776661.0,2020-11-14,2020-12-11
ADV US,2021-10-08,2021-07-23,ADVANTAGE SOLUTION-REDH,1776661.0,2020-12-12,2021-12-10
ADV US,2021-10-08,2021-07-23,ADVANTAGE SOLUTIONS INC,1776661.0,2021-12-11,2099-12-31
ADVM US,2022-02-11,2015-09-25,ADVERUM BIOTECHNOLOGIES,1501756.0,2016-05-14,2099-12-31
ADVM US,2022-02-11,2015-09-25,AVALANCHE BIOTECHNOLOGIES,1501756.0,2014-08-09,2016-05-13
ADVNB US,2008-10-24,2004-10-01,ADVANTA CORP  -CL B,96638.0,2007-04-14,2099-12-31
ADVP US,2004-03-19,2003-01-31,ADVANCEPCS,1012956.0,2007-04-14,2099-12-31
ADVS US,2015-07-03,2003-07-18,ADVENT SOFTWARE INC,1002225.0,2007-04-14,2099-12-31
ADXS US,2018-02-16,2015-07-03,ADVAXIS INC,1100397.0,2011-12-10,2099-12-31
ADXS US,2018-02-16,2015-07-03,ADVAXIS INC,1100397.0,2011-12-10,2099-12-31
ADY US,2009-11-20,2009-05-22,AMERICAN DAIRY INC,789868.0,2007-04-14,2010-11-12
ADY US,2009-11-20,2009-05-22,AMERICAN DAIRY INC,789868.0,2007-04-14,2010-11-12
ADY US,2009-11-20,2009-05-22,FEIHE INTERNATIONAL INC,789868.0,2010-11-13,2099-12-31
ADY US,2009-11-20,2009-05-22,FEIHE INTERNATIONAL INC,789868.0,2010-11-13,2099-12-31
ADZA US,2006-10-13,2005-09-02,ADEZA BIOMEDICAL CORP,902482.0,2007-04-14,2099-12-31
AEA US,2012-03-30,2005-09-09,ADVANCE AMER CASH ADVANCE CT,1299704.0,2007-04-14,2099-12-31
AEE US,2022-02-11,2003-01-31,AMEREN CORP,1002910.0,2007-04-14,2099-12-31
AEGN US,2021-05-14,2011-11-04,AEGION  CORP,353020.0,2011-11-12,2016-03-11
AEGN US,2021-05-14,2011-11-04,AEGION CORP,353020.0,2016-03-12,2099-12-31
AEGN US,2021-05-14,2011-11-04,INSITUFORM TECHNOLOGIES-CL A,353020.0,2007-04-14,2011-11-11
AEGR US,2016-04-08,2011-07-29,AEGERION PHARMACEUTICALS INC,1338042.0,2011-12-10,2099-12-31
AEGR US,2016-04-08,2011-07-29,AEGERION PHARMA INC -REDH,1338042.0,2007-06-09,2010-11-12
AEGR US,2016-04-08,2011-07-29,AEGERION PHARMACEUTICALS INC,1338042.0,2010-11-13,2011-12-09
AEIS US,2022-02-11,2003-01-31,ADVANCED ENERGY INDS INC,927003.0,2021-06-14,2099-12-31
AEIS US,2022-02-11,2003-01-31,ADVANCED ENERGY INDS INC,927003.0,2007-04-14,2021-06-13
AEL US,2022-02-11,2004-09-10,AMERICAN EQTY INVT LIFE HLDG,1039828.0,2007-04-14,2099-12-31
AEN US,2004-12-17,2003-05-16,AUSTRAL PACIFIC ENERGY LTD,1041829.0,2007-04-14,2099-12-31
AEN US,2004-12-17,2003-05-16,SYNTHETIC BIOLOGICS INC,894158.0,2012-03-10,2099-12-31
AEN US,2004-12-17,2003-05-16,ADEONA PHARMACEUTICALS INC,894158.0,2008-11-08,2012-03-09
AEN US,2004-12-17,2003-05-16,PIPEX PHARMACEUTICALS INC,894158.0,2007-07-14,2008-11-07
AEO US,2022-02-11,2003-01-31,AMERN EAGLE OUTFITTERS INC,919012.0,2007-04-14,2099-12-31
AEP US,2022-02-11,2003-01-31,AMERICAN ELECTRIC POWER,4904.0,2007-04-14,2008-04-11
AEP US,2022-02-11,2003-01-31,AMERICAN ELECTRIC POWER CO,4904.0,2008-04-12,2099-12-31
AERI US,2022-02-11,2014-07-18,AERIE PHARMACEUTICALS INC,1337553.0,2013-11-09,2099-12-31
AERI US,2022-02-11,2014-07-18,AERIE PHARMACEUTICALS-REDH,1337553.0,2013-10-13,2013-11-08
AES US,2022-02-11,2003-01-31,AES CORP,874761.0,2009-03-14,2019-06-07
AES US,2022-02-11,2003-01-31,AES CORP (THE),874761.0,2019-06-08,2099-12-31
